index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
174,6,800,0.258662,10.0386,4.23366,1.46261
175,6,800,0.568615,12.1623,6.69172,3.28664
176,6,800,0.568615,12.1623,6.69172,3.28664
177,6,800,0.568615,12.1623,6.69172,3.28664
178,6,800,0.568615,12.1623,6.69172,3.28664
179,6,800,0.568615,12.1623,6.69172,3.28664
180,6,800,0.897916,4.37066,1.80837,1.60856
181,6,800,0.897916,4.37066,1.80837,1.60856
182,6,800,0.897916,4.37066,1.80837,1.60856
183,6,800,0.897916,4.37066,1.80837,1.60856
184,6,800,0.897916,4.37066,1.80837,1.60856
185,6,800,0.810516,5.86926,4.22379,5.84234
186,6,800,0.810516,5.86926,4.22379,5.84234
187,6,800,0.810516,5.86926,4.22379,5.84234
188,6,800,0.810516,5.86926,4.22379,5.84234
189,6,800,0.810516,5.86926,4.22379,5.84234
190,6,800,0.635139,8.15044,1.55128,3.81293
191,6,800,0.635139,8.15044,1.55128,3.81293
192,6,800,0.635139,8.15044,1.55128,3.81293
193,6,800,0.635139,8.15044,1.55128,3.81293
194,6,800,0.635139,8.15044,1.55128,3.81293
195,6,800,0.810749,14.1938,4.78807,5.2775
196,6,800,0.810749,14.1938,4.78807,5.2775
197,6,800,0.810749,14.1938,4.78807,5.2775
198,6,800,0.810749,14.1938,4.78807,5.2775
199,6,800,0.810749,14.1938,4.78807,5.2775
200,6,800,0.513909,9.73383,4.25844,3.16421
201,6,800,0.513909,9.73383,4.25844,3.16421
202,6,800,0.513909,9.73383,4.25844,3.16421
203,6,800,0.513909,9.73383,4.25844,3.16421
204,6,800,0.513909,9.73383,4.25844,3.16421
205,6,800,0.36897,10.0578,10.0115,1.25392
206,6,800,0.36897,10.0578,10.0115,1.25392
207,6,800,0.36897,10.0578,10.0115,1.25392
208,6,800,0.36897,10.0578,10.0115,1.25392
209,6,800,0.36897,10.0578,10.0115,1.25392
210,6,800,0.71743,8.82179,8.13905,6.04376
211,6,800,0.71743,8.82179,8.13905,6.04376
212,6,800,0.71743,8.82179,8.13905,6.04376
213,6,800,0.71743,8.82179,8.13905,6.04376
214,6,800,0.71743,8.82179,8.13905,6.04376
215,6,800,0.705633,11.782,5.4014,4.95695
216,6,800,0.705633,11.782,5.4014,4.95695
217,6,800,0.705633,11.782,5.4014,4.95695
218,6,800,0.705633,11.782,5.4014,4.95695
219,6,800,0.705633,11.782,5.4014,4.95695
220,6,800,0.421308,22.0973,7.01764,2.40345
221,6,800,0.421308,22.0973,7.01764,2.40345
222,6,800,0.421308,22.0973,7.01764,2.40345
223,6,800,0.421308,22.0973,7.01764,2.40345
224,6,800,0.421308,22.0973,7.01764,2.40345
225,6,800,0.473274,3.11075,2.42532,1.28532
226,6,800,0.473274,3.11075,2.42532,1.28532
227,6,800,0.473274,3.11075,2.42532,1.28532
228,6,800,0.473274,3.11075,2.42532,1.28532
