index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
679,7,160,762,370.426,6.52461
680,7,160,1131,82.9473,10.6469
681,7,160,1396,217.387,50.978
682,7,160,1176,253.863,2.81441
683,7,160,1184,371.277,6.81194
684,7,160,1137,89.8152,27.5627
685,7,160,1312,211.196,4.66421
686,7,160,1693,335.935,11.3025
687,7,160,1568,464.215,7.28119
688,7,160,1703,82.7805,65.011
689,7,160,1986,202.75,183.877
690,7,160,1274,201.273,4.04555
691,7,160,1719,397.02,0.833223
692,7,160,2365,138.346,12.8566
693,7,160,2200,180.348,0.77756
694,7,160,2089,274.444,3.03967
695,7,160,2135,367.048,7.15932
696,7,160,2666,157.724,1.77329
697,7,160,2217,257.442,1.1233
698,7,160,2313,307.224,0.671706
699,7,160,2836,388.884,0.636753
700,8,80,139,191.667,0.0942598
701,8,80,132,244.533,0.0827503
702,8,80,136,374.952,0.106071
703,8,80,147,398.769,0.201656
704,8,80,218,135.649,0.173779
705,8,80,207,318.812,0.13107
706,8,80,207,259.8,0.195703
707,8,80,197,318.743,0.249876
708,8,80,294,138.574,0.235142
709,8,80,285,176.484,0.412759
710,8,80,279,308.297,0.8561
711,8,80,258,423.284,0.204569
712,8,80,354,111.423,0.235623
713,8,80,357,235.943,0.322591
714,8,80,342,253.861,0.185529
715,8,80,335,342.437,0.358848
716,8,80,404,137.942,0.386758
717,8,80,400,180.909,0.218727
718,8,80,422,328.307,0.127385
719,8,80,444,369.338,0.249445
720,8,80,493,67.8433,0.24874
721,8,80,506,220.358,0.17692
722,8,80,480,244.722,0.1843
723,8,80,492,394.653,0.158419
724,8,80,563,154.458,0.247106
725,8,80,535,133.049,0.457073
726,8,80,541,296.315,0.0824617
727,8,80,575,403.84,0.108236
728,8,100,223,191.647,0.154219
729,8,100,227,294.344,0.311491
730,8,100,213,305.214,0.286253
731,8,100,215,342.857,0.445196
732,8,100,321,161.912,0.819761
733,8,100,312,249.966,0.337654
734,8,100,334,325.763,0.40908
735,8,100,288,283.944,0.464856
736,8,100,442,87.7115,0.422688
737,8,100,422,195.342,0.524295
738,8,100,362,304.94,0.326658
739,8,100,445,423.844,1.4471
740,8,100,443,141.521,0.25141
741,8,100,476,166.597,0.489334
742,8,100,550,252.549,7.63024
743,8,100,531,385.455,0.240046
744,8,100,715,141.41,0.372956
745,8,100,717,150.506,1.04151
746,8,100,642,259.843,0.390399
747,8,100,538,393.976,0.367775
748,8,100,766,141.279,0.280034
749,8,100,819,236.867,0.501964
750,8,100,776,311.305,0.158335
751,8,100,697,373.141,0.198081
752,8,100,800,101.639,0.456196
753,8,100,878,250.966,0.279147
754,8,100,915,195.473,0.236729
755,8,100,852,362.936,0.343069
756,8,120,335,171.759,0.255792
757,8,120,309,243.478,1.06537
758,8,120,252,322.623,0.679608
759,8,120,312,382.395,0.590012
760,8,120,495,111.673,2.2537
761,8,120,407,203.338,4.69295
762,8,120,464,376.507,0.978992
763,8,120,493,437.75,0.809349
764,8,120,724,84.2714,4.84379
765,8,120,603,248.19,0.771402
766,8,120,595,322.457,1.33634
767,8,120,664,375.696,2.63096
768,8,120,764,97.3571,1.49707
769,8,120,838,233.615,1.03791
770,8,120,805,338.111,0.328671
771,8,120,726,395.785,2.07145
772,8,120,880,81.2632,3.25035
773,8,120,894,215.08,2.03512
774,8,120,964,262.991,0.487379
775,8,120,793,347.144,6.8775
776,8,120,1036,69.7955,13.4327
777,8,120,1073,233.01,0.775584
778,8,120,1169,289.45,0.620111
779,8,120,1100,423.687,0.42702
780,8,120,1006,80.1649,1.16734
781,8,120,1253,239.073,0.400871
782,8,120,1352,280.464,0.297486
783,8,120,1321,377.143,0.253508
784,8,140,496,154.815,2.98561
785,8,140,393,193.023,1.44804
786,8,140,429,306.67,7.55577
787,8,140,384,323.244,1.08728
788,8,140,702,121.464,17.6923
789,8,140,666,287.816,7.63333
790,8,140,516,195.187,1.83485
791,8,140,560,338.54,16.382
792,8,140,947,149.558,5.58976
793,8,140,880,200.186,5.80663
794,8,140,884,249.216,2.6833
795,8,140,797,400.167,21.8567
796,8,140,731,159.239,2.71365
797,8,140,927,276.765,1.39211
798,8,140,1031,330.162,1.67248
799,8,140,1223,343.816,0.604991
800,8,140,1039,105.768,2.06696
801,8,140,974,200.293,1.19633
802,8,140,1366,312.062,2.45295
803,8,140,1252,373.713,1.36058
804,8,140,1393,111,2.25383
805,8,140,1534,219.397,1.05583
806,8,140,1513,279.022,0.594795
807,8,140,1661,422.652,0.615709
808,8,140,1825,52.2161,1.90917
809,8,140,1950,203.072,1.35152
810,8,140,1848,244.115,0.566979
811,8,140,1766,364.685,0.642974
812,8,160,576,142.276,5.2014
813,8,160,733,226.021,5.22402
814,8,160,584,312.636,4.2781
815,8,160,639,409.873,20.158
816,8,160,856,123.368,291.335
817,8,160,814,186.171,14.2973
818,8,160,717,298.304,2.88489
819,8,160,823,312.227,16.8103
820,8,160,1126,124.739,23.0995
821,8,160,1136,195.413,43.7671
822,8,160,1082,258.974,13.7994
823,8,160,1195,350.099,15.3593
824,8,160,1591,109.859,7.50516
825,8,160,1367,148.773,2.64104
826,8,160,1402,253.238,25.4617
827,8,160,1296,374.38,15.6378
828,8,160,1486,86.0087,7.57038
829,8,160,2002,197.175,9.40793
830,8,160,1530,235.853,0.738324
831,8,160,1692,431.26,2.01161
832,8,160,2129,127.34,2.94359
833,8,160,1941,227.279,1.40531
834,8,160,1408,284.993,0.78673
835,8,160,1731,411.762,0.727075
836,8,160,2219,90.3426,13.8006
837,8,160,2291,228.103,1.82807
838,8,160,2255,263.961,0.572853
839,8,160,2129,366.444,0.446469
840,9,80,123,172.8,0.0872026
841,9,80,126,263.25,0.0877148
842,9,80,121,246.333,0.0317054
843,9,80,126,334.562,0.0885102
844,9,80,188,105.286,0.141052
845,9,80,192,237.848,0.18373
846,9,80,195,335.944,0.227282
847,9,80,184,410.684,0.204889
848,9,80,247,182.031,0.31643
849,9,80,250,286.123,0.456887
850,9,80,259,315.562,0.230735
851,9,80,248,381.514,0.20511
852,9,80,312,92.2553,0.156698
853,9,80,323,205.2,0.52073
854,9,80,319,359.787,0.196496
855,9,80,311,317.527,0.4537
856,9,80,376,51.4793,0.967446
857,9,80,388,197.268,0.250257
858,9,80,372,363.831,0.198705
859,9,80,379,372.429,0.161632
860,9,80,437,108.046,0.215631
861,9,80,455,223.432,0.154231
862,9,80,453,275,0.171139
863,9,80,434,348.775,0.162653
864,9,80,516,93.9394,0.239322
865,9,80,504,208.056,0.181042
866,9,80,514,259.197,0.0972368
867,9,80,501,368.896,0.105822
868,9,100,190,138.826,0.103933
869,9,100,194,244.742,0.35141
870,9,100,176,302.976,0.15995
871,9,100,192,406.167,0.219423
872,9,100,291,189,0.652291
873,9,100,274,248.672,0.318315
874,9,100,281,285.095,0.331497
875,9,100,300,413.3,0.70072
876,9,100,377,109.842,1.07336
877,9,100,425,228.386,0.670163
878,9,100,371,298.545,0.754388
879,9,100,394,347.898,0.568194
880,9,100,517,133.51,0.840171
881,9,100,496,183.97,0.569377
882,9,100,452,334.432,0.200397
883,9,100,494,378.326,1.01963
884,9,100,535,137.835,0.56851
885,9,100,596,177.262,0.614172
886,9,100,629,298.7,0.274911
887,9,100,574,389.689,0.283405
888,9,100,700,126.263,0.957452
889,9,100,694,190.527,0.214439
890,9,100,613,315.655,0.173709
891,9,100,682,390.557,0.262344
892,9,100,742,103.102,0.335768
893,9,100,851,207.261,0.241215
894,9,100,773,285.389,0.328927
895,9,100,747,388.929,0.326317
896,9,120,232,200.727,0.169173
897,9,120,293,211.049,1.37128
898,9,120,218,326.274,0.289407
899,9,120,285,400.418,0.819973
900,9,120,448,68.2273,6.34812
901,9,120,462,194.451,6.37213
902,9,120,473,317.283,3.82653
903,9,120,410,463.073,1.54607
904,9,120,560,153.945,0.713493
905,9,120,577,199.583,9.04443
906,9,120,528,220.955,1.84605
907,9,120,665,413.764,3.25586
908,9,120,650,140.211,0.714823
909,9,120,727,202.155,10.9696
910,9,120,722,302.66,12.7675
911,9,120,679,419.892,1.09962
912,9,120,828,108.179,5.05531
913,9,120,879,213.519,1.7827
914,9,120,764,303.037,0.623217
915,9,120,768,381.727,1.45999
916,9,120,938,82.951,1.77274
917,9,120,969,210.962,1.40048
918,9,120,1052,279.847,2.14497
919,9,120,938,360.365,0.342334
920,9,120,1172,99.049,5.61785
