index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
138,3,160,1740,295.254,0.0290554
139,3,160,4351,462.009,0.0646342
140,4,80,251,282.857,0.00216387
141,4,80,223,380.708,0.00249297
142,4,80,226,438,0.00354298
143,4,80,217,542.667,0.00498422
144,4,80,425,175.414,0.00284197
145,4,80,277,331.675,0.00440023
146,4,80,247,377.833,0.005231
147,4,80,346,521.952,0.00789963
148,4,80,462,150.857,0.00439037
149,4,80,524,281.029,0.00473415
150,4,80,499,307.441,0.00536389
151,4,80,450,442.127,0.00895207
152,4,80,684,139.867,0.00575253
153,4,80,570,226.619,0.00428651
154,4,80,504,352.264,0.0075779
155,4,80,626,382.409,0.00876221
156,4,80,751,176.623,0.00412962
157,4,80,617,285.764,0.00598921
158,4,80,420,392.614,0.00836318
159,4,80,648,409.068,0.00815794
160,4,80,794,75.963,0.00540275
161,4,80,903,321.538,0.00674666
162,4,80,878,339.945,0.00798726
163,4,80,781,465.809,0.00722078
164,4,80,600,163.682,0.00270354
165,4,80,864,206.277,0.00781471
166,4,80,995,400.629,0.0108197
167,4,80,1016,459.701,0.0106282
168,4,100,293,223.143,0.0034452
169,4,100,433,246.542,0.00595288
170,4,100,266,438.389,0.00619966
171,4,100,192,417.082,0.00533076
172,4,100,572,176.45,0.00758794
173,4,100,644,245,0.0127273
174,4,100,493,330.256,0.0107838
175,4,100,548,477.837,0.0123078
176,4,100,713,108.81,0.00400679
177,4,100,812,247.068,0.0118307
178,4,100,821,406.027,0.0132158
179,4,100,819,467.81,0.0163124
180,4,100,1180,131.194,0.00622534
181,4,100,921,195.236,0.0105578
182,4,100,1154,327.615,0.0133068
183,4,100,642,366.667,0.0160701
184,4,100,1072,194.438,0.0102151
185,4,100,1216,229.756,0.00850643
186,4,100,978,323.802,0.0141205
187,4,100,641,392.033,0.0172706
188,4,100,914,116.924,0.00553408
189,4,100,786,251.526,0.0162415
190,4,100,733,261.5,0.0109977
191,4,100,1415,442.2,0.0127768
192,4,100,1700,204.217,0.00934002
193,4,100,1292,257.551,0.00767637
194,4,100,1607,388.635,0.0131041
195,4,100,1543,447.031,0.0213364
196,4,120,410,195.6,0.00498109
197,4,120,351,320.022,0.00700825
198,4,120,292,337.447,0.00742307
199,4,120,354,431.211,0.00912914
200,4,120,892,110.714,0.00722134
201,4,120,850,329.569,0.0160197
202,4,120,400,512.27,0.021116
203,4,120,886,421.045,0.0245739
204,4,120,1126,116.136,0.0119601
205,4,120,1333,237.37,0.0169769
206,4,120,684,316.555,0.0170408
207,4,120,935,430.917,0.0286116
208,4,120,1237,170.989,0.0117879
209,4,120,1367,284.547,0.0238919
210,4,120,1103,352.93,0.0138441
211,4,120,1205,395.261,0.0230418
212,4,120,1362,119.045,0.0123727
